id_pokedex,type,type_two,name,height,weight,category,ability,ability_two,weakness,weakness_two,description,HP,Attack,Defense,Special_Attack,Special_Defense,Speed
114,Grass,,Tangela,1.0,35.0,Vine,Chlorophyll,Leaf Guard,Bug,Fire,"Tangelas vines snap off easily if they are grabbed.This happens without pain, allowing it to make a quickgetaway. The lost vines are replaced by newly grown vines thevery next day.",4,4,7,6,3,4
115,Normal,,Kangaskhan,2.2,80.0,Parent,Early Bird,,Fighting,Fighting,"If you come across a young Kangaskhan playing by itself, youmust never disturb it or attempt to catch it. The babyPokémons parent is sure to be in the area, and it will becomeviolently enraged at you.",7,6,5,3,5,6
116,Water,,Horsea,0.4,8.0,Dragon,Swift Swim,Sniper,Electric,Grass,"Horsea eats small insects and moss off of rocks. If the oceancurrent turns fast, this Pokémon anchors itself by wrapping itstail around rocks or coral to prevent being washed away.",2,3,5,5,2,4
117,Water,,Seadra,1.2,25.0,Dragon,Poison Point,Sniper,Electric,Grass,Seadra sleeps after wriggling itself between the branches ofcoral. Those trying to harvest coral are occasionally stung bythis Pokémons poison barbs if they fail to notice it.,4,4,6,6,3,5
118,Water,,Goldeen,0.6,15.0,Goldfish,Swift Swim,Water Veil,Electric,Grass,"Goldeen is a very beautiful Pokémon with fins that billowelegantly in water. However, dont let your guard down aroundthis Pokémon—it could ram you powerfully with its horn.",3,4,4,3,3,4
119,Water,,Seaking,1.3,39.0,Goldfish,Swift Swim,Water Veil,Electric,Grass,"In the autumn, Seaking males can be seen performingcourtship dances in riverbeds to woo females. During thisseason, this Pokémons body coloration is at its most beautiful.",5,6,4,4,5,4
120,Water,,Staryu,0.8,34.5,Star Shape,Natural Cure,Illuminate,Electric,Grass,"Staryus center section has an organ called the core thatshines bright red. If you go to a beach toward the end ofsummer, the glowing cores of these Pokémon look like thestars in the sky.",2,3,4,5,4,5
121,Water,Psychic,Starmie,1.1,80.0,Mysterious,Natural Cure,Illuminate,Bug,Dark,"Starmies center section—the core—glows brightly in sevencolors. Because of its luminous nature, this Pokémon hasbeen given the nickname “the gem of the sea.""",4,5,5,6,5,7
122,Psychic,Fairy,Mr. Mime,1.3,54.5,Barrier,Soundproof,Filter,Ghost,Steel,"Mr. Mime is a master of pantomime. Its gestures and motionsconvince watchers that something unseeable actually exists.Once the watchers are convinced, the unseeable thing existsas if it were real.",3,3,4,6,8,6
123,Bug,Flying,Scyther,1.5,56.0,Mantis,Swarm,Technician,Rock,Electric,"Scyther is blindingly fast. Its blazing speed enhances theeffectiveness of the twin scythes on its forearms.This Pokémons scythes are so effective, they can slicethrough thick logs in one wicked stroke.",5,7,5,4,5,7
124,Ice,Psychic,Jynx,1.4,40.6,Human Shape,Oblivious,Forewarn,Bug,Dark,"Jynx walks rhythmically, swaying and shaking its hips as if itwere dancing. Its motions are so bouncingly alluring, peopleseeing it are compelled to shake their hips without giving anythought to what they are doing.",4,3,3,7,6,6
125,Electric,,Electabuzz,1.1,30.0,Electric,Static,,Ground,,"When a storm arrives, gangs of this Pokémon compete witheach other to scale heights that are likely to be stricken bylightning bolts. Some towns use Electabuzz in place oflightning rods.",4,5,4,6,5,7
126,Fire,,Magmar,1.3,44.5,Spitfire,Flame Body,,Ground,Rock,"In battle, Magmar blows out intensely hot flames from allover its body to intimidate its opponent. This Pokémonsfiery bursts create heat waves that ignite grass and treesin its surroundings.",4,6,4,6,5,6
127,Bug,,Pinsir,1.5,55.0,Stag Beetle,Hyper Cutter,,Fire,Flying,Pinsir is astoundingly strong. It can grip a foe weighing twiceits weight in its horns and easily lift it. This Pokémonsmovements turn sluggish in cold places.,4,8,6,4,5,5
128,Normal,,Tauros,1.4,88.4,Wild Bull,Intimidate,Anger Point,Fighting,,"This Pokémon is not satisfied unless it is rampaging at alltimes. If there is no opponent for Tauros to battle, it willcharge at thick trees and knock them down to calm itself.",5,6,6,3,5,7
129,Water,,Magikarp,0.9,10.0,Fish,Swift Swim,,Electric,Grass,Magikarp is a pathetic excuse for a Pokémon that is onlycapable of flopping and splashing. This behavior promptedscientists to undertake research into it.,2,1,4,1,2,5
130,Water,Flying,Gyarados,6.5,235.0,Atrocious,Intimidate,,Electric,Rock,"When Magikarp evolves into Gyarados, its brain cells undergo astructural transformation. It is said that this transformation is toblame for this Pokémons wildly violent nature.",6,8,5,4,6,5
131,Water,Ice,Lapras,2.5,220.0,Transport,Water Absorb,Shell Armor,Electric,Fighting,"People have driven Lapras almost to the point of extinction.In the evenings, this Pokémon is said to sing plaintively as itseeks what few others of its kind still remain.",8,5,5,5,6,4
132,Normal,,Ditto,0.3,4.0,Transform,Limber,,Fighting,,"Ditto rearranges its cell structure to transform itself into othershapes. However, if it tries to transform itself into somethingby relying on its memory, this Pokémon manages to getdetails wrong.",3,3,3,3,3,3
133,Normal,,Eevee,0.3,6.5,Evolution,Run Away,Adaptability,Fighting,,Eevee has an unstable genetic makeup that suddenly mutatesdue to the environment in which it lives. Radiation from variousstones causes this Pokémon to evolve.,4,4,3,3,4,4
134,Water,,Vaporeon,1.0,29.0,Bubble Jet,Water Absorb,,Electric,Grass,Vaporeon underwent a spontaneous mutation and grew finsand gills that allow it to live underwater. This Pokémon has theability to freely control water.,8,4,4,7,6,4
135,Electric,,Jolteon,0.8,24.5,Lightning,Volt Absorb,,Ground,,"Jolteons cells generate a low level of electricity. This power isamplified by the static electricity of its fur, enabling thePokémon to drop thunderbolts. The bristling fur is made ofelectrically charged needles.",4,4,4,7,6,8
136,Fire,,Flareon,0.9,25.0,Flame,Flash Fire,,Ground,Rock,"Flareons fluffy fur has a functional purpose—it releases heatinto the air so that its body does not get excessively hot.This Pokémons body temperature can rise to a maximum of1,650 degrees Fahrenheit.",4,8,4,6,7,4
137,Normal,,Porygon,0.8,36.5,Virtual,Trace,Download,Fighting,,Porygon is capable of reverting itself entirely back to programdata and entering cyberspace. This Pokémon is copy protectedso it cannot be duplicated by copying.,4,4,5,5,5,3
138,Rock,Water,Omanyte,0.4,7.5,Spiral,Shell Armor,Swift Swim,Grass,Electric,"Omanyte is one of the ancient and long-since-extinct Pokémonthat have been regenerated from fossils by people. If attackedby an enemy, it withdraws itself inside its hard shell.",3,3,6,6,4,3
139,Rock,Water,Omastar,1.0,35.0,Spiral,Shell Armor,Swift Swim,Grass,Electric,"Omastar uses its tentacles to capture its prey. It is believed tohave become extinct because its shell grew too large andheavy, causing its movements to become too slowand ponderous.",5,4,8,7,5,4
140,Rock,Water,Kabuto,0.5,11.5,Shellfish,Swift Swim,Battle Armor,Grass,Electric,"Kabuto is a Pokémon that has been regenerated from a fossil.However, in extremely rare cases, living examples have beendiscovered. The Pokémon has not changed at all for300 million years.",2,5,6,4,3,4
141,Rock,Water,Kabutops,1.3,40.5,Shellfish,Swift Swim,Battle Armor,Grass,Electric,Kabutops swam underwater to hunt for its prey in ancienttimes. The Pokémon was apparently evolving from being awater dweller to living on land as evident from the beginningsof change in its gills and legs.,4,7,7,4,5,5
142,Rock,Flying,Aerodactyl,1.8,59.0,Fossil,Rock Head,,Electric,Ice,Aerodactyl is a Pokémon from the age of dinosaurs. It wasregenerated from genetic material extracted from amber. It isimagined to have been the king of the skies in ancient times.,5,7,4,4,5,8
143,Normal,,Snorlax,2.1,460.0,Sleeping,Thick Fat,Immunity,Fighting,,Snorlaxs typical day consists of nothing more than eating andsleeping. It is such a docile Pokémon that there are childrenwho use its expansive belly as a place to play.,10,7,4,4,7,2
144,Ice,Flying,Articuno,1.7,55.4,Freeze,Pressure,,Rock,Electric,"Articuno is a legendary bird Pokémon that can control ice.The flapping of its wings chills the air. As a result, it is saidthat when this Pokémon flies, snow will fall.",6,5,6,6,8,5
145,Electric,Flying,Zapdos,1.6,52.6,Electric,Pressure,,Ice,Rock,Zapdos is a legendary bird Pokémon that has the ability tocontrol electricity. It usually lives in thunderclouds.The Pokémon gains power if it is stricken by lightning bolts.,6,6,5,8,6,6
146,Fire,Flying,Moltres,2.0,60.0,Flame,Pressure,,Rock,Electric,"Moltres is a legendary bird Pokémon that has the ability tocontrol fire. If this Pokémon is injured, it is said to dip its bodyin the molten magma of a volcano to burn and heal itself.",6,6,6,8,5,6
147,Dragon,,Dratini,1.8,3.3,Dragon,Shed Skin,,Dragon,Ice,Dratini continually molts and sloughs off its old skin. It does sobecause the life energy within its body steadily builds to reachuncontrollable levels.,3,4,3,3,3,3
148,Dragon,,Dragonair,4.0,16.5,Dragon,Shed Skin,,Dragon,Ice,Dragonair stores an enormous amount of energy inside itsbody. It is said to alter weather conditions in its vicinity bydischarging energy from the crystals on its neck and tail.,4,5,4,5,5,5
149,Dragon,Flying,Dragonite,2.2,210.0,Dragon,Inner Focus,,Ice,Dragon,Dragonite is capable of circling the globe in just 16 hours.It is a kindhearted Pokémon that leads lost and founderingships in a storm to the safety of land.,6,8,6,6,6,5
150,Psychic,,Mewtwo,2.0,122.0,Genetic,Pressure,,Bug,Dark,"Mewtwo is a Pokémon that was created by geneticmanipulation. However, even though the scientific power ofhumans created this Pokémons body, they failed to endowMewtwo with a compassionate heart.",7,7,6,10,6,8
151,Psychic,,Mew,0.4,4.0,New Species,Synchronize,,Bug,Dark,"Mew is said to possess the genetic composition of allPokémon. It is capable of making itself invisible at will,so it entirely avoids notice even if it approaches people.",6,6,6,6,6,6
152,Grass,,Chikorita,0.9,6.4,Leaf,Overgrow,,Bug,Fire,"In battle, Chikorita waves its leaf around to keep the foe atbay. However, a sweet fragrance also wafts from the leaf,becalming the battling Pokémon and creating a cozy, friendlyatmosphere all around.",3,3,4,3,4,3
153,Grass,,Bayleef,1.2,15.8,Leaf,Overgrow,,Bug,Fire,Bayleefs neck is ringed by curled-up leaves. Inside eachtubular leaf is a small shoot of a tree. The fragrance of thisshoot makes people peppy.,4,4,5,4,5,4
154,Grass,,Meganium,1.8,100.5,Herb,Overgrow,,Bug,Fire,"The fragrance of Meganiums flower soothes and calmsemotions. In battle, this Pokémon gives off more of itsbecalming scent to blunt the foes fighting spirit.",5,5,6,5,6,5
155,Fire,,Cyndaquil,0.5,7.9,Fire Mouse,Blaze,,Ground,Rock,"Cyndaquil protects itself by flaring up the flames on its back.The flames are vigorous if the Pokémon is angry. However, if itis tired, the flames splutter fitfully with incomplete combustion.",3,4,3,4,3,4
156,Fire,,Quilava,0.9,19.0,Volcano,Blaze,,Ground,Rock,Quilava keeps its foes at bay with the intensity of its flames andgusts of superheated air. This Pokémon applies its outstandingnimbleness to dodge attacks even while scorching the foewith flames.,4,4,4,5,4,5
157,Fire,,Typhlosion,1.7,79.5,Volcano,Blaze,,Ground,Rock,Typhlosion obscures itself behind a shimmering heat haze thatit creates using its intensely hot flames. This Pokémon createsblazing explosive blasts that burn everything to cinders.,5,5,5,7,5,6
158,Water,,Totodile,0.6,9.5,Big Jaw,Torrent,,Electric,Grass,"Despite the smallness of its body, Totodiles jaws are verypowerful. While the Pokémon may think it is just playfullynipping, its bite has enough power to cause serious injury.",3,4,4,3,3,3
159,Water,,Croconaw,1.1,25.0,Big Jaw,Torrent,,Electric,Grass,"Once Croconaw has clamped its jaws on its foe, it willabsolutely not let go. Because the tips of its fangs are forkedback like barbed fishhooks, they become impossible to removewhen they have sunk in.",4,5,5,4,4,4
160,Water,,Feraligatr,2.3,88.8,Big Jaw,Torrent,,Electric,Grass,"Feraligatr intimidates its foes by opening its huge mouth.In battle, it will kick the ground hard with its thick and powerfulhind legs to charge at the foe at an incredible speed.",5,7,6,5,5,5
161,Normal,,Sentret,0.8,6.0,Scout,Keen Eye,Run Away,Fighting,,"When Sentret sleeps, it does so while another stands guard.The sentry wakes the others at the first sign of danger.When this Pokémon becomes separated from its pack,it becomes incapable of sleep due to fear.",3,3,2,3,3,2
162,Normal,,Furret,1.8,32.5,Long Body,Keen Eye,Run Away,Fighting,,"Furret has a very slim build. When under attack, it can slicklysquirm through narrow spaces and get away. In spite of itsshort limbs, this Pokémon is very nimble and fleet.",5,5,4,3,4,6
163,Normal,Flying,Hoothoot,0.7,21.2,Owl,Keen Eye,Insomnia,Electric,Ice,"Hoothoot has an internal organ that senses and tracks theearths rotation. Using this special organ, this Pokémon beginshooting at precisely the same time every day.",4,2,2,3,4,3
164,Normal,Flying,Noctowl,1.6,40.8,Owl,Keen Eye,Insomnia,Electric,Ice,"Noctowl never fails at catching prey in darkness. This Pokémonowes its success to its superior vision that allows it to see inminimal light, and to its soft, supple wings that make no soundin flight.",6,3,3,6,6,5
165,Bug,Flying,Ledyba,1.0,10.8,Five Star,Swarm,Early Bird,Rock,Electric,Ledyba secretes an aromatic fluid from where its legs join itsbody. This fluid is used for communicating with others.This Pokémon conveys its feelings to others by altering thefluids scent.,3,2,2,3,5,4
166,Bug,Flying,Ledian,1.4,35.6,Five Star,Swarm,Early Bird,Rock,Electric,"It is said that in lands with clean air, where the stars fill thesky, there live Ledian in countless numbers. There is a goodreason for this—the Pokémon uses the light of the stars asits energy.",4,3,3,4,7,5
167,Bug,Poison,Spinarak,0.5,8.5,String Spit,Swarm,Insomnia,Fire,Flying,The web spun by Spinarak can be considered its secondnervous system. It is said that this Pokémon can determinewhat kind of prey is touching its web just by the tiny vibrationsit feels through the webs strands.,3,4,3,3,3,2
168,Bug,Poison,Ariados,1.1,33.5,Long Leg,Swarm,Insomnia,Fire,Flying,Ariadoss feet are tipped with tiny hooked claws that enable itto scuttle on ceilings and vertical walls. This Pokémonconstricts the foe with thin and strong silk webbing.,5,6,5,4,5,3
169,Poison,Flying,Crobat,1.8,75.0,Bat,Inner Focus,,Electric,Ice,"If this Pokémon is flying by fluttering only a pair of wings oneither the forelegs or hind legs, its proof that Crobat has beenflying a long distance. It switches the wings it uses if it is tired.",5,6,5,5,5,8
170,Water,Electric,Chinchou,0.5,12.0,Angler,Illuminate,Volt Absorb,Grass,Ground,Chinchou lets loose positive and negative electrical chargesfrom its two antennas to make its prey faint. This Pokémonflashes its electric lights to exchange signals with others.,5,3,3,4,4,4
171,Water,Electric,Lanturn,1.2,22.5,Light,Illuminate,Volt Absorb,Grass,Ground,"Lanturn is nicknamed “the deep-sea star"" for its illuminatedantenna. This Pokémon produces light by causing a chemicalreaction between bacteria and its bodily fluids insidethe antenna.",8,4,4,5,5,4
172,Electric,,Pichu,0.3,2.0,Tiny Mouse,Static,,Ground,,Pichu charges itself with electricity more easily on days withthunderclouds or when the air is very dry. You can hear thecrackling of static electricity coming off this Pokémon.,2,3,1,3,3,4
173,Fairy,,Cleffa,0.3,3.0,Star Shape,Cute Charm,Magic Guard,Steel,Poison,"On nights with many shooting stars, Cleffa can be seendancing in a ring. They dance through the night and stop onlyat the break of day, when these Pokémon quench their thirstwith the morning dew.",3,2,2,3,4,1
174,Normal,Fairy,Igglybuff,0.3,1.0,Balloon,Cute Charm,Competitive,Steel,Poison,Igglybuffs vocal cords are not sufficiently developed. It wouldhurt its throat if it were to sing too much. This Pokémongargles with freshwater from a clean stream.,6,2,1,3,2,1
175,Fairy,,Togepi,0.3,1.5,Spike Ball,Serene Grace,Hustle,Steel,Poison,"As its energy, Togepi uses the positive emotions ofcompassion and pleasure exuded by people and Pokémon.This Pokémon stores up feelings of happiness inside its shell,then shares them with others.",3,2,4,3,4,2
176,Fairy,Flying,Togetic,0.6,3.2,Happiness,Serene Grace,Hustle,Electric,Ice,"Togetic is said to be a Pokémon that brings good fortune.When the Pokémon spots someone who is pure of heart, it issaid to appear and share its happiness with that person.",4,3,5,5,7,3
177,Psychic,Flying,Natu,0.2,2.0,Tiny Bird,Synchronize,Early Bird,Dark,Electric,"Natu cannot fly because its wings are not yet fully grown.If your eyes meet with this Pokémons eyes, it will stare backintently at you. But if you move even slightly, it will hop awayto safety.",3,3,3,5,3,5
178,Psychic,Flying,Xatu,1.5,15.0,Mystic,Synchronize,Early Bird,Dark,Electric,Xatu stands rooted and still in one spot all day long.People believe that this Pokémon does so out of fear of theterrible things it has foreseen in the future.,4,5,5,6,5,6
179,Electric,,Mareep,0.6,7.8,Wool,Static,,Ground,,"Mareeps fluffy coat of wool rubs together and builds a staticcharge. The more static electricity is charged, the more brightlythe lightbulb at the tip of its tail glows.",4,3,3,4,3,3
180,Electric,,Flaaffy,0.8,13.3,Wool,Static,,Ground,,Flaaffys wool quality changes so that it can generate a highamount of static electricity with a small amount of wool.The bare and slick parts of its hide are shieldedagainst electricity.,5,4,4,5,4,3
181,Electric,,Ampharos,1.4,61.5,Light,Static,,Ground,Fairy,Ampharos gives off so much light that it can be seen even fromspace. People in the old days used the light of this Pokémonto send signals back and forth with others far away.,6,5,5,7,6,4
182,Grass,,Bellossom,0.4,5.8,Flower,Chlorophyll,,Bug,Fire,"When Bellossom gets exposed to plenty of sunlight, the leavesringing its body begin to spin around. This Pokémons dancingis renowned in the southern lands.",5,5,6,6,6,3
183,Water,Fairy,Marill,0.4,8.5,Aqua Mouse,Thick Fat,Huge Power,Electric,Grass,"Marills oil-filled tail acts much like a life preserver. If you seejust its tail bobbing on the waters surface, its a sureindication that this Pokémon is diving beneath the water tofeed on aquatic plants.",5,2,3,2,3,3
184,Water,Fairy,Azumarill,0.8,28.5,Aqua Rabbit,Thick Fat,Huge Power,Electric,Grass,"Azumarills long ears are indispensable sensors. By focusing itshearing, this Pokémon can identify what kinds of prey arearound, even in rough and fast-running rivers.",6,3,5,4,5,3
185,Rock,,Sudowoodo,1.2,38.0,Imitation,Rock Head,Sturdy,Fighting,Grass,"Sudowoodo camouflages itself as a tree to avoid beingattacked by enemies. However, because its hands remaingreen throughout the year, the Pokémon is easily identifiedas a fake during the winter.",5,6,7,2,4,2
186,Water,,Politoed,1.1,33.9,Frog,Damp,Water Absorb,Electric,Grass,"The curled hair on Politoeds head is proof of its status as aking. It is said that the longer and more curled the hair, themore respect this Pokémon earns from its peers.",6,5,5,6,6,5
187,Grass,Flying,Hoppip,0.4,0.5,Cottonweed,Chlorophyll,Leaf Guard,Ice,Fire,"This Pokémon drifts and floats with the wind. If it senses theapproach of strong winds, Hoppip links its leaves with otherHoppip to prepare against being blown away.",3,3,3,3,4,3
188,Grass,Flying,Skiploom,0.6,1.0,Cottonweed,Chlorophyll,Leaf Guard,Ice,Fire,"Skiplooms flower blossoms when the temperature risesabove 64 degrees Fahrenheit. How much the flower opensdepends on the temperature. For that reason, this Pokémonis sometimes used as a thermometer.",4,3,3,3,4,5
189,Grass,Flying,Jumpluff,0.8,3.0,Cottonweed,Chlorophyll,Leaf Guard,Ice,Fire,Jumpluff rides warm southern winds to cross the sea and fly toforeign lands. The Pokémon descends to the ground when itencounters cold air while it is floating.,5,4,5,4,6,7
190,Normal,,Aipom,0.8,11.5,Long Tail,Run Away,Pickup,Fighting,,"Aipoms tail ends in a hand-like appendage that can be cleverlymanipulated. However, because the Pokémon uses its tail somuch, its real hands have become rather clumsy.",4,5,4,3,4,5
191,Grass,,Sunkern,0.3,1.8,Seed,Chlorophyll,Solar Power,Bug,Fire,"Sunkern tries to move as little as it possibly can. It does sobecause it tries to conserve all the nutrients it has stored in itsbody for its evolution. It will not eat a thing, subsisting only onmorning dew.",2,2,2,2,2,2
192,Grass,,Sunflora,0.8,8.5,Sun,Chlorophyll,Solar Power,Bug,Fire,Sunflora converts solar energy into nutrition. It moves aroundactively in the daytime when it is warm. It stops moving assoon as the sun goes down for the night.,5,5,4,7,5,2
193,Bug,Flying,Yanma,1.2,38.0,Clear Wing,Compound Eyes,Speed Boost,Rock,Electric,Yanma is capable of seeing 360 degrees without having tomove its eyes. It is a great flier that is adept at making suddenstops and turning midair. This Pokémon uses its flying ability toquickly chase down targeted prey.,4,4,3,5,3,6
194,Water,Ground,Wooper,0.4,8.5,Water Fish,Damp,Water Absorb,Grass,,"Wooper usually lives in water. However, it occasionally comesout onto land in search of food. On land, it coats its body witha gooey, toxic film.",4,3,3,2,2,1
195,Water,Ground,Quagsire,1.4,75.0,Water Fish,Damp,Water Absorb,Grass,,"Quagsire hunts for food by leaving its mouth wide open inwater and waiting for its prey to blunder in unaware. Becausethe Pokémon does not move, it does not get very hungry.",6,5,5,4,4,3
196,Psychic,,Espeon,0.9,26.5,Sun,Synchronize,,Bug,Dark,Espeon is extremely loyal to any Trainer it considers tobe worthy. It is said that this Pokémon developed itsprecognitive powers to protect its Trainer from harm.,4,4,4,8,6,7
197,Dark,,Umbreon,1.0,27.0,Moonlight,Synchronize,,Fighting,Bug,Umbreon evolved as a result of exposure to the moons waves.It hides silently in darkness and waits for its foes to make amove. The rings on its body glow when it leaps to attack.,6,4,7,4,8,4
198,Dark,Flying,Murkrow,0.5,2.1,Darkness,Insomnia,Super Luck,Electric,Ice,Murkrow was feared and loathed as the alleged bearer of illfortune. This Pokémon shows strong interest in anything thatsparkles or glitters. It will even try to steal rings from women.,4,5,3,5,3,6
199,Water,Psychic,Slowking,2.0,79.5,Royal,Oblivious,Own Tempo,Bug,Dark,"Slowking undertakes research every day in an effort to solvethe mysteries of the world. However, this Pokémon apparentlyforgets everything it has learned if the Shellder on its headcomes off.",6,5,5,6,7,2
200,Ghost,,Misdreavus,0.7,1.0,Screech,Levitate,,Dark,Ghost,"Misdreavus frightens people with a creepy, sobbing cry.The Pokémon apparently uses its red spheres to absorb thefearful feelings of foes and turn them into nutrition.",4,4,4,5,5,5
201,Psychic,,Unown,0.5,5.0,Symbol,Levitate,,Bug,Dark,"This Pokémon is shaped like ancient writing. It is a mystery asto which came first, the ancient writings or the various Unown.Research into this topic is ongoing but nothing is known.",3,5,3,5,3,3
202,Psychic,,Wobbuffet,1.3,28.5,Patient,Shadow Tag,,Bug,Dark,"If two or more Wobbuffet meet, they will turn competitiveand try to outdo each others endurance. However, they maytry to see which one can endure the longest without food.Trainers need to beware of this habit.",12,2,4,2,4,2
203,Normal,Psychic,Girafarig,1.5,41.5,Long Neck,Inner Focus,Early Bird,Bug,Dark,"Girafarigs rear head also has a brain, but it is small. The rearhead attacks in response to smells and sounds. Approachingthis Pokémon from behind can cause the rear head to suddenlylash out and bite.",5,5,4,6,4,5
204,Bug,,Pineco,0.6,7.2,Bagworm,Sturdy,,Fire,Flying,"Pineco hangs from a tree branch and patiently waits for prey tocome along. If the Pokémon is disturbed while eating bysomeone shaking its tree, it drops down to the ground andexplodes with no warning.",3,4,6,3,3,1
205,Bug,Steel,Forretress,1.2,125.8,Bagworm,Sturdy,,Fire,,"Forretress conceals itself inside its hardened steel shell.The shell is opened when the Pokémon is catching prey,but it does so at such a quick pace that the shells insidecannot be seen.",5,6,9,4,4,3
206,Normal,,Dunsparce,1.5,14.0,Land Snake,Run Away,Serene Grace,Fighting,,Dunsparce has a drill for its tail. It uses this tail to burrow intothe ground backward. This Pokémon is known to make itsnest in complex shapes deep under the ground.,6,5,5,4,4,3
207,Ground,Flying,Gligar,1.1,64.8,Fly Scorpion,Sand Veil,Hyper Cutter,Ice,Water,"Gligar glides through the air without a sound as if it weresliding. This Pokémon hangs on to the face of its foe usingits clawed hind legs and the large pincers on its forelegs, theninjects the prey with its poison barb.",4,5,7,3,4,5
208,Steel,Ground,Steelix,9.2,400.0,Iron Snake,Rock Head,,Fighting,Fire,Steelix lives even further underground than Onix.This Pokémon is known to dig toward the earths core.There are records of this Pokémon reaching a depth of oversix-tenths of a mile underground.,5,5,12,4,4,2
209,Fairy,,Snubbull,0.6,7.8,Fairy,Run Away,Intimidate,Steel,Poison,"By baring its fangs and making a scary face, Snubbull sendssmaller Pokémon scurrying away in terror. However, thisPokémon seems a little sad at making its foes flee.",4,5,3,3,3,2
210,Fairy,,Granbull,1.4,48.7,Fairy,Intimidate,Quick Feet,Steel,Poison,"Granbull has a particularly well-developed lower jaw.The enormous fangs are heavy, causing the Pokémon to tip itshead back for balance. Unless it is startled, it will not try tobite indiscriminately.",6,8,5,4,4,3
211,Water,Poison,Qwilfish,0.5,3.9,Balloon,Poison Point,Swift Swim,Electric,Ground,"Qwilfish sucks in water, inflating itself. This Pokémonuses the pressure of the water it swallowed to shoot toxicquills all at once from all over its body. It finds swimmingsomewhat challenging.",4,6,5,4,4,5
212,Bug,Steel,Scizor,1.8,118.0,Pincer,Swarm,,Fire,Fire,Scizor has a body with the hardness of steel. It is not easilyfazed by ordinary sorts of attacks. This Pokémon flaps itswings to regulate its body temperature.,5,8,6,4,5,4
213,Bug,Rock,Shuckle,0.6,20.5,Mold,Sturdy,Gluttony,Rock,Steel,"Shuckle quietly hides itself under rocks, keeping its bodyconcealed inside its hard shell while eating berries it hasstored away. The berries mix with its body fluids to becomea juice.",2,1,14,1,14,1
214,Bug,Fighting,Heracross,1.5,54.0,Single Horn,Swarm,,Flying,Fire,"Heracross charges in a straight line at its foe, slips beneath thefoes grasp, and then scoops up and hurls the opponent withits mighty horn. This Pokémon even has enough power totopple a massive tree.",5,8,5,3,6,5
215,Dark,Ice,Sneasel,0.9,28.0,Sharp Claw,Keen Eye,Inner Focus,Fighting,Bug,Sneasel scales trees by punching its hooked claws into thebark. This Pokémon seeks out unguarded nests and stealseggs for food while the parents are away.,4,6,4,3,5,7
216,Normal,,Teddiursa,0.6,8.8,Little Bear,Pickup,Quick Feet,Fighting,,This Pokémon likes to lick its palms that are sweetened bybeing soaked in honey. Teddiursa concocts its own honeyby blending fruits and pollen collected by Beedrill.,4,5,3,3,3,3
217,Normal,,Ursaring,1.8,125.8,Hibernator,Guts,Quick Feet,Fighting,,"In the forests inhabited by Ursaring, it is said that there aremany streams and towering trees where they gather food.This Pokémon walks through its forest gathering foodevery day.",6,8,5,5,5,4
218,Fire,,Slugma,0.7,35.0,Lava,Flame Body,Magma Armor,Ground,Rock,"Molten magma courses throughout Slugmas circulatorysystem. If this Pokémon is chilled, the magma cools andhardens. Its body turns brittle and chunks fall off, reducingits size.",3,3,3,5,3,2
219,Fire,Rock,Magcargo,0.8,55.0,Lava,Flame Body,Magma Armor,Ground,Water,Magcargos shell is actually its skin that hardened as a resultof cooling. Its shell is very brittle and fragile—just touching itcauses it to crumble apart. This Pokémon returns to its originalsize by dipping itself in magma.,4,3,8,6,5,2
220,Ice,Ground,Swinub,0.4,6.5,Pig,Oblivious,Snow Cloak,Fighting,Fire,Swinub roots for food by rubbing its snout against the ground.Its favorite food is a mushroom that grows under the cover ofdead grass. This Pokémon occasionally roots out hot springs.,3,3,3,2,2,3
221,Ice,Ground,Piloswine,1.1,55.8,Swine,Oblivious,Snow Cloak,Fighting,Fire,Piloswine is covered by a thick coat of long hair that enables itto endure the freezing cold. This Pokémon uses its tusks todig up food that has been buried under ice.,6,6,5,4,4,3
222,Water,Rock,Corsola,0.6,5.0,Coral,Natural Cure,Hustle,Grass,Electric,"Corsolas branches glitter very beautifully in seven colors whenthey catch sunlight. If any branch breaks off, this Pokémongrows it back in just one night.",4,4,6,4,6,3
223,Water,,Remoraid,0.6,12.0,Jet,Sniper,Hustle,Electric,Grass,"Remoraid sucks in water, then expels it at high velocity usingits abdominal muscles to shoot down flying prey. Whenevolution draws near, this Pokémon travels downstreamfrom rivers.",3,4,3,4,3,4
224,Water,,Octillery,0.9,28.5,Jet,Sniper,Suction Cups,Electric,Grass,"Octillery grabs onto its foe using its tentacles. This Pokémontries to immobilize it before delivering the finishing blow. If thefoe turns out to be too strong, Octillery spews ink to escape.",5,7,5,7,5,3
225,Ice,Flying,Delibird,0.9,16.0,Delivery,Vital Spirit,Hustle,Rock,Electric,"Delibird carries its food bundled up in its tail. There once wasa famous explorer who managed to reach the peak of theworlds highest mountain, thanks to one of these Pokémonsharing its food.",3,4,3,4,3,5
226,Water,Flying,Mantine,2.1,220.0,Kite,Water Absorb,Swift Swim,Electric,Rock,"On sunny days, schools of Mantine can be seen elegantlyleaping over the seas waves. This Pokémon is not botheredby the Remoraid that hitches rides.",5,3,5,5,9,5
