Index,Nome,Formato,Pokemon,Gênero,PC,PS,Atq IV,Def IV,PS IV,IV Médio,Nível Min,Nível Max,Movimento rápido,Movimento de carga,Movimento de carga 2,Data de digitalização,Data Pego,Peso,Altura,Sortudo,Sombras/Purificado,Favorito,Poeira,Class % (G),Class # (G),Prod Estat (G),Custo de Poeira (G),Custo de Doces (G),Nome (G),Formato (G),Som/Pur (G),Class % (U),Class # (U),Prod Estat (U),Custo de Poeira (U),Custo de Doces (U),Nome (U),Formato (U),Som/Pur (U),Marcado para uso PvP
103,Wailmer,,320,♂,808,172,13,12,12,82.2,20.0,20.0,,,,"2021-11-19 22:56",18/5/2020,,,0,0,0,0,70.82%,1196,94.37%,325000,248,Wailmer,,0,93.19%,280,97.28%,460000,648,Wailord,,0,
104,Wailmer,,320,♂,815,171,13,14,10,82.2,20.0,20.0,Revólver d'Água,,,"2021-11-19 22:56",13/11/2021,133.05kg,1.92m,0,0,0,2500,81.27%,768,95.31%,313000,248,Wailmer,,0,96.95%,126,98.00%,445000,648,Wailord,,0,
105,Kricketune,,402,♀,917,117,13,12,13,84.4,20.0,20.0,Ira de Inseto,Ás dos Ares,,"2021-11-19 22:56",19/10/2019,30.92kg,1.01m,0,0,0,2500,47.77%,2140,94.70%,137000,130,Kricketune,,0,96.92%,127,95.13%,475000,248,Kricketune,,0,
106,Bastiodon,,411,♀,871,101,14,15,15,97.8,20.0,20.0,Derrubada,Gume de Pedra,,"2021-11-19 22:55",30/10/2021,97.98kg,1.02m,0,0,0,2500,31.31%,2814,92.45%,196000,206,Bastiodon,,0,99.83%,8,99.08%,475000,248,Bastiodon,,0,
107,Lileep,,345,♂,713,106,12,14,13,86.7,20.0,20.0,Ácido,,,"2021-11-19 22:55",4/3/2020,23.14kg,0.99m,0,0,0,2500,38.07%,2537,94.36%,24000,72,Cradily,,0,97.83%,90,96.65%,475000,298,Cradily,,0,
108,Riolu,,447,♀,540,77,13,12,10,77.8,20.0,20.0,Contra-atacar,,,"2021-11-19 22:51",2/11/2021,14.35kg,0.55m,0,0,0,2500,74.36%,1051,96.12%,0,50,Lucario,,0,50.57%,2025,95.96%,161000,210,Lucario,,0,
109,Feebas,,349,♀,142,57,12,13,12,82.2,20.0,20.0,,,,"2021-11-19 22:50",20/6/2020,10.89kg,0.73m,0,0,0,2500,95.29%,194,88.06%,475000,248,Feebas,,0,23.81%,3121,94.90%,70000,162,Milotic,,0,
110,Purugly,,432,♀,1101,112,13,15,14,93.3,20.0,20.0,Arranhão,Jogo Duro,,"2021-11-19 22:48",2/12/2019,26.14kg,0.78m,0,0,0,2500,57.09%,1758,95.34%,47000,42,Purugly,,0,99.66%,15,98.30%,475000,248,Purugly,,0,
111,Hitmontop,,237,♂,1219,90,,,,94.4,20.0,20.0,Contra-atacar,Gume de Pedra,,"2021-11-19 22:48",,34.87kg,1.31m,0,0,0,2500,67.11%,1001,96.01%,27500,25,Hitmontop,,0,99.68%,8,98.94%,475000,248,Hitmontop,,0,
112,Heatmor,,631,♀,1345,124,14,14,11,86.7,20.0,20.0,Chama Furacão,Lança-chamas,,"2021-11-19 22:48",18/3/2020,62.39kg,1.47m,0,0,0,2500,32.87%,2750,94.27%,11000,10,Heatmor,,0,63.96%,1477,95.47%,325000,248,Heatmor,,0,
113,Ninetales,Alola,38,♀,1309,113,15,14,13,93.3,20.0,20.0,Encantar,Choque Psíquico,,"2021-11-19 22:47",17/9/2018,12.73kg,1m,0,0,0,2500,17.48%,3380,93.27%,14000,13,Ninetales,Alola,0,92.53%,307,97.22%,389000,248,Ninetales,Alola,0,
114,Toxicroak,,454,♂,1404,122,15,15,10,88.9,20.0,20.0,Contra-atacar,Soco Dinâmico,,"2021-11-19 22:47",19/10/2019,58.07kg,1.54m,0,0,0,2500,29.08%,2905,93.51%,5000,4,Toxicroak,,0,52.97%,1927,95.95%,245000,248,Toxicroak,,0,
115,Umbreon,,197,♂,1486,152,13,11,13,82.2,25.0,25.0,Rosnado,Jogo Sujo,,"2021-11-19 22:47",4/9/2018,24.76kg,0.86m,0,0,0,4000,27.77%,2959,93.20%,0,0,Umbreon,,0,96.73%,135,96.03%,444000,220,Umbreon,,0,
116,Golem,Alola,76,♀,1616,120,10,10,12,71.1,20.0,20.0,Troca Elétrica,Explosão de Rocha,,"2021-11-19 22:45",26/8/2018,341.15kg,1.84m,0,0,0,2500,,,,,,,,,47.42%,2154,95.84%,91000,80,Golem,Alola,0,
117,Blaziken,,257,♂,1598,120,14,13,12,86.7,20.0,20.0,Contra-atacar,Explosão Focalizada,,"2021-11-19 22:45",24/8/2018,34.97kg,1.58m,0,0,0,2500,,,,,,,,,59.61%,1655,96.20%,103000,92,Blaziken,,0,
118,Mantine,,226,♂,1204,106,15,15,15,100.0,20.0,20.0,Bolha,Raio Congelante,,"2021-11-19 22:43",,324.26kg,2.48m,0,0,0,2500,19.05%,3316,93.33%,27500,25,Mantine,,0,100.00%,1,100%,475000,248,Mantine,,0,
119,Mantine,,226,♂,1204,106,15,15,15,100.0,20.0,20.0,Ataque de Asa,Ás dos Ares,,"2021-11-19 22:43",,311.81kg,2.46m,0,0,0,2500,19.05%,3316,93.33%,27500,25,Mantine,,0,100.00%,1,100%,475000,248,Mantine,,0,
120,Sharpedo,,319,♀,1233,110,15,14,13,93.3,20.0,20.0,Mordida,Jato d'Água,,"2021-11-19 22:43",,65.1kg,1.54m,0,0,0,2500,64.30%,1463,94.98%,24000,22,Sharpedo,,0,99.46%,23,97.72%,475000,248,Sharpedo,,0,
121,Sharpedo,,319,♀,1233,110,15,14,13,93.3,20.0,20.0,Cachoeira,Jato d'Água,,"2021-11-19 22:43",,106kg,1.92m,0,0,0,2500,64.30%,1463,94.98%,24000,22,Sharpedo,,0,99.46%,23,97.72%,475000,248,Sharpedo,,0,
122,Muk,Alola,89,♀,1555,145,,,,87.8,20.0,20.0,Rosnado,Spray Ácido,,"2021-11-19 22:42",,41.64kg,0.91m,0,0,0,2500,,,,,,,,,33.92%,2433,95.64%,123000,114,Muk,Alola,0,
123,Hariyama,,297,♂,1588,188,15,11,14,88.9,20.0,20.0,Soco Projétil,Superpoder,,"2021-11-19 22:42",8/10/2019,169.08kg,1.85m,0,0,0,2500,,,,,,,,,22.56%,3172,94.66%,103000,92,Hariyama,,0,
124,Honchkrow,,430,♂,1531,142,13,15,13,91.1,20.0,20.0,Bicada,Pulso Sombrio,,"2021-11-19 22:41",,22.61kg,0.8m,0,0,0,2500,,,,,,,,,74.46%,1047,96.76%,137000,130,Honchkrow,,0,
125,Porygon2,,233,,1519,124,15,12,10,82.2,20.0,20.0,Poder Oculto,Raio Solar,,"2021-11-19 22:41",18/11/2018,33.63kg,0.6m,0,0,0,2500,,,,,,,,,29.60%,2884,95.25%,145000,140,Porygon2,,0,
126,Drapion,,452,♀,1514,114,14,14,11,86.7,22.0,22.0,Presa de Gelo,Bomba de Lodo,,"2021-11-19 22:41",4/11/2021,75.26kg,1.46m,0,0,0,3000,,,,,,,,,32.41%,2769,94.47%,267000,238,Drapion,,0,
127,Kabutops,,141,♂,1493,99,12,10,11,73.3,20.0,20.0,Esmagamento de Pedras,Poder Ancestral,,"2021-11-19 22:30",31/10/2021,52.28kg,1.51m,0,0,0,2500,75.58%,1001,96.47%,0,0,Kabutops,,0,26.15%,3025,95.11%,161000,160,Kabutops,,0,
128,Hitmonlee,,106,♂,1470,90,13,12,12,82.2,20.5,20.5,Esmagamento de Pedras,Gume de Pedra,,"2021-11-19 22:29",8/9/2018,45.3kg,1.56m,0,0,0,2500,33.99%,2704,94.27%,0,0,Hitmonlee,,0,57.09%,1758,96.03%,212500,231,Hitmonlee,,0,
129,Sandslash,Alola,28,♀,1498,122,13,12,14,86.7,22.0,22.0,,,,"2021-11-19 22:29",20/8/2018,23.4kg,0.85m,0,0,0,3000,79.46%,842,96.37%,0,0,Sandslash,Alola,0,59.39%,1664,95.77%,290000,238,Sandslash,Alola,0,
130,Snorlax,,143,♂,43,32,,,,68.1,1.0,1.0,Lambida,Hiper Raio,,"2021-11-19 22:27",,572.77kg,2.31m,0,0,0,200,50.26%,40,98.65%,31200,44,Snorlax,,0,45.53%,30,99.18%,105500,110,Snorlax,,0,
131,Feebas,,349,♀,91,48,,,,51.3,15.0,15.0,,,,"2021-11-19 22:26",,6.63kg,0.59m,0,0,0,1900,56.60%,510,96.94%,14200,114,Milotic,,0,49.80%,967,97.19%,124400,212,Milotic,,0,
132,Shedinja,,292,,126,10,,,,51.0,15.0,15.0,Garra Sombria,Cavar,,"2021-11-19 22:26",,1.1kg,0.85m,0,0,0,1900,34.08%,514,76.92%,496400,268,Shedinja,,0,34.08%,514,76.92%,496400,268,Shedinja,,0,
133,Feebas,,349,♂,131,61,,,,59.6,22.0,22.0,,,,"2021-11-19 22:26",,12kg,0.74m,0,0,0,3000,56.59%,1457,74.68%,464000,238,Feebas,,0,69.20%,251,98.27%,86000,176,Milotic,,0,
134,Vulpix,Normal,37,♀,141,42,,,,87.8,6.0,6.0,Brasa,,,"2021-11-19 22:26",,10.66kg,0.59m,0,0,0,600,34.26%,1661,95.27%,61900,115,Ninetales,Normal,0,95.84%,10,99.37%,486400,344,Ninetales,Normal,0,
135,Magikarp,,129,♀,142,58,,,,90.4,19.0,19.0,Borrifada,,,"2021-11-19 22:26",,7.05kg,0.81m,1,0,0,1250,99.12%,20,95.45%,240000,252,Magikarp,,0,66.46%,365,97.25%,22000,438,Gyarados,Normal,0,
136,Magikarp,,129,♂,170,61,15,14,13,93.3,22.0,22.0,Borrifada,,,"2021-11-19 22:26",,10.62kg,0.93m,1,0,0,1500,99.76%,11,96.64%,232000,238,Magikarp,,0,15.87%,3446,93.84%,12000,421,Gyarados,Normal,0,
137,Taillow,,276,♂,217,55,,,,60.0,11.0,11.0,Ataque Rápido,,,"2021-11-19 22:26",,2.22kg,0.27m,0,0,0,1300,37.05%,1626,95.39%,98000,144,Swellow,,0,70.75%,796,91.27%,508000,334,Swellow,,0,
138,Magikarp,,129,♂,226,70,,,,85.2,30.0,30.0,Borrifada,,,"2021-11-19 22:26",,8.3kg,0.9m,1,0,0,2500,98.45%,33,94.24%,200000,182,Magikarp,,0,98.45%,33,94.24%,200000,182,Magikarp,,0,
139,Ralts,,280,♂,318,70,,,,83.3,22.0,22.0,Confusão,,,"2021-11-19 22:26",,12.14kg,0.57m,1,0,0,1500,97.04%,88,94.46%,232000,263,Kirlia,,0,38.82%,610,97.61%,27000,173,Gardevoir,,0,
140,Combusken,,256,♂,455,71,,,,83.1,10.0,10.0,Bicada,,,"2021-11-19 22:26",,16.38kg,0.87m,1,0,0,500,59.18%,911,96.27%,90000,178,Combusken,,0,71.91%,580,97.35%,72000,236,Blaziken,,0,
141,Dratini,,147,♀,556,81,,,,87.8,20.0,20.0,Sopro do Dragão,,,"2021-11-19 22:26",,3.27kg,1.64m,0,0,0,2500,53.71%,1520,95.65%,75000,91,Dragonair,,0,26.84%,2687,94.84%,17000,141,Dragonite,,0,
142,Mudkip,,258,♂,543,82,,,,45.7,19.0,19.0,,,,"2021-11-19 22:26",,5.49kg,0.37m,0,0,0,2500,91.72%,115,98.04%,0,125,Swampert,,0,37.30%,980,97.17%,114000,227,Swampert,,0,
143,Minun,,312,♀,803,91,,,,84.4,17.0,17.0,Faísca,Relâmpago,,"2021-11-19 22:26",,4.64kg,0.42m,1,0,0,1100,41.55%,1858,94.97%,64900,118,Minun,,0,97.47%,70,96.78%,244400,260,Minun,,0,
144,Raichu,Normal,26,♀,973,89,,,,83.7,16.0,16.0,Troca Elétrica,Ataque Selvagem,,"2021-11-19 22:26",,27.83kg,0.87m,1,0,0,950,59.77%,1244,95.32%,22550,41,Raichu,Normal,0,97.09%,94,96.56%,246300,264,Raichu,Normal,0,
145,Plusle,,311,♂,975,94,15,13,4,71.1,20.0,20.0,Ataque Rápido,Relâmpago,,"2021-11-19 22:26",,3.48kg,0.36m,0,0,0,2500,24.08%,3110,93.67%,91000,80,Plusle,,0,86.98%,534,92.36%,475000,248,Plusle,,0,
146,Combusken,,256,♂,1022,105,,,,91.1,22.0,22.0,,,,"2021-11-19 22:26",,15.72kg,0.78m,1,0,0,1500,62.63%,1529,95.50%,59500,112,Combusken,,0,55.62%,1807,96.06%,43000,176,Blaziken,,0,
147,Marowak,Normal,105,♀,1122,104,,,,83.3,22.0,22.0,Tapa de Lama,Cavar,,"2021-11-19 22:24",,38.7kg,0.93m,1,0,0,1500,23.11%,2773,93.97%,27000,48,Marowak,Normal,0,97.07%,80,96.73%,232000,238,Marowak,Normal,0,
148,Articuno,,144,,1200,111,,,,46.7,15.0,15.0,Respiração de Gelo,Raio Congelante,,"2021-11-19 22:24",,29.79kg,1.41m,0,0,0,1900,77.77%,269,97.76%,14200,14,Articuno,,0,78.60%,45,99.05%,124400,112,Articuno,,0,
149,Suicune,,245,,1201,122,,,,56.7,15.0,15.0,Extrassensorial,Pulso d'Água,,"2021-11-19 22:24",,161.49kg,1.96m,0,0,0,1900,54.61%,1320,95.67%,14200,14,Suicune,,0,43.67%,1774,96.40%,118400,106,Suicune,,0,
150,Venusaur,Normal,3,♂,1311,111,15,14,13,93.3,17.0,17.0,Chicote de Vinha,Raio Solar,,"2021-11-19 22:24",27/7/2019,124.56kg,2.26m,0,0,0,2200,18.02%,3358,93.37%,8800,8,Venusaur,Normal,0,44.93%,2256,95.83%,143800,134,Venusaur,Normal,0,
151,Espeon,,196,♂,1336,90,15,13,11,86.7,15.0,15.0,Cabeçada Zen,Feixe Psíquico,,"2021-11-19 22:24",23/9/2018,32.03kg,0.99m,0,0,0,1900,28.64%,2923,93.67%,5700,6,Espeon,,0,54.63%,1859,95.92%,77400,70,Espeon,,0,
152,Cresselia,,488,♀,1552,162,10,7,12,64.4,20.0,20.0,Corte Psíquico,Explosão Lunar,,"2021-11-19 22:23",2/12/2018,114.12kg,1.68m,0,0,0,2500,,,,,,,,,31.99%,2786,95.11%,123000,114,Cresselia,,0,
153,Ninetales,Normal,38,♀,1555,124,,,,95.6,24.0,24.0,Ataque Dissimulado,Raio Solar,,"2021-11-19 22:23",,18.47kg,0.96m,0,0,0,3500,,,,,,,,,96.02%,149,97.97%,379000,226,Ninetales,Normal,0,
154,Aerodactyl,,142,♂,1186,106,15,13,15,95.6,15.0,15.0,Asa de Aço,Cabeça de Ferro,,"2021-11-19 22:22",,86.81kg,2.14m,0,0,0,1900,12.45%,3586,93.22%,14200,14,Aerodactyl,,0,48.94%,2092,95.91%,130400,118,Aerodactyl,,0,
155,Aerodactyl,,142,♂,1169,106,,,,87.8,15.0,15.0,Asa de Aço,Hiper Raio,,"2021-11-19 22:22",,68.09kg,1.79m,0,0,0,1900,64.68%,1077,96.28%,16400,16,Aerodactyl,,0,65.16%,982,96.97%,144400,134,Aerodactyl,,0,
156,Aerodactyl,,142,♂,1167,105,,,,85.6,15.0,15.0,Asa de Aço,Poder Ancestral,,"2021-11-19 22:22",,41.64kg,1.55m,0,0,0,1900,59.43%,1281,96.03%,16400,16,Aerodactyl,,0,63.38%,1053,96.89%,144400,134,Aerodactyl,,0,
157,Aerodactyl,,142,♂,1214,107,,,,28.3,17.0,17.0,Lançamento de Rocha,Poder Ancestral,,"2021-11-19 22:22",,44.35kg,1.71m,0,0,0,2200,79.84%,276,97.71%,18800,16,Aerodactyl,,0,48.59%,1260,96.68%,238800,260,Aerodactyl,,0,
158,Dedenne,,702,♀,1215,117,,,,35.6,26.0,26.0,Trovoada de Choques,Descarga,,"2021-11-19 22:21",,2.44kg,0.23m,0,0,0,4000,52.50%,668,97.06%,84000,80,Dedenne,,0,22.99%,2714,85.50%,436000,214,Dedenne,,0,
159,Braixen,,654,♀,1224,108,12,8,10,66.7,25.0,25.0,Brasa,,,"2021-11-19 22:21",10/11/2021,9.1kg,0.82m,0,0,0,4000,37.92%,2543,94.67%,54000,46,Braixen,,0,14.82%,3489,94.55%,39000,134,Delphox,,0,
160,Azumarill,,184,♀,1226,171,,,,41.1,31.0,31.0,Bolha,Raio Congelante,,"2021-11-19 22:21",,29.66kg,0.84m,0,0,0,6000,55.96%,933,96.29%,252000,174,Azumarill,,0,30.40%,2401,85.96%,390000,174,Azumarill,,0,
161,Pinsir,,127,♀,1228,91,,,,76.7,15.0,15.0,Picada,Superpoder,,"2021-11-19 22:21",,72.44kg,1.81m,0,0,0,1900,39.37%,1348,95.46%,12000,12,Pinsir,,0,60.65%,463,97.72%,106400,94,Pinsir,,0,
162,Forretress,,205,♀,1525,127,,,,57.8,25.0,25.0,Picada,Tumba de Rochas,,"2021-11-19 22:20",,100.19kg,1.08m,0,0,0,4000,,,,,,,,,66.87%,967,95.10%,444000,220,Forretress,,0,
163,Sunflora,,192,♀,1578,140,3,0,14,37.8,29.0,29.0,Projétil de Semente,Nevasca de Pétalas,,"2021-11-19 22:19",,8.61kg,0.84m,0,0,0,5000,,,,,,,,,18.36%,3344,84.08%,410000,190,Sunflora,,0,
164,Cresselia,,488,♀,1558,161,10,11,10,68.9,20.0,20.0,Confusão,Nó de Grama,,"2021-11-19 22:19",16/11/2021,78.36kg,1.32m,0,0,0,2500,,,,,,,,,52.26%,1956,96.07%,123000,114,Cresselia,,0,
165,Nidoqueen,,31,♀,1583,140,,,,66.7,23.5,23.5,Mordida,Gume de Pedra,,"2021-11-19 22:19",,78.69kg,1.35m,0,0,0,3500,,,,,,,,,63.56%,638,97.43%,304500,229,Nidoqueen,,0,
166,Arbok,,24,♀,1591,122,,,,48.9,33.0,33.0,Ácido,Tiro de Sujeira,,"2021-11-19 22:19",,88.22kg,4.28m,0,0,0,7000,,,,,,,,,44.69%,2251,87.13%,366000,150,Arbok,,0,
167,Roselia,,315,♂,1604,107,,,,46.7,35.0,37.0,Folha Navalha,,,"2021-11-19 22:19",,3.19kg,0.34m,0,0,0,8000,,,,,,,,,40.75%,1623,88.15%,338000,118,Roselia,,0,
168,Machoke,,67,♀,1533,143,,,,72.2,28.0,28.0,Rasteira,,,"2021-11-19 22:18",,68.76kg,1.63m,0,0,0,4500,,,,,,,,,53.16%,1467,96.36%,14000,112,Machamp,,0,
169,Exeggutor,Alola,103,♀,1543,129,14,3,7,53.3,19.0,19.0,,,,"2021-11-19 22:18",,,,0,0,0,2500,,,,,,,,,15.78%,3450,94.64%,96000,84,Exeggutor,Alola,0,
170,Machoke,,67,,1533,143,,,,72.2,28.0,28.0,,,,"2021-11-19 22:18",,63.76kg,1.63m,0,0,0,4500,,,,,,,,,53.16%,1467,96.36%,14000,112,Machamp,,0,
171,Basculin,,550,♂,1530,127,,,,48.9,28.0,28.0,Revólver d'Água,Aqua Cauda,,"2021-11-19 22:17",,21.72kg,1.06m,0,0,0,4500,,,,,,,,,49.19%,1348,89.39%,419000,198,Basculin,,0,
172,Dewgong,,87,♂,1503,156,,,,70.0,28.0,28.0,Cauda de Ferro,Nevasca,,"2021-11-19 22:17",,95.18kg,1.46m,0,0,0,4500,,,,,,,,,83.52%,525,93.10%,419000,198,Dewgong,,0,
173,Marowak,Normal,105,♂,1520,124,,,,80.0,30.0,30.0,Tapa de Lama,Terremoto,,"2021-11-19 22:17",,46.38kg,0.95m,0,0,0,5000,,,,,,,,,94.82%,100,96.37%,400000,182,Marowak,Normal,0,
174,Absol,Normal,359,♀,1468,107,13,10,13,80.0,21.0,21.0,Rosnado,Megachifre,,"2021-11-19 22:17",18/11/2018,52.55kg,1.26m,0,0,0,3000,18.32%,3346,93.29%,0,0,Absol,Normal,0,58.00%,1721,96.22%,251000,244,Absol,Normal,0,
175,Blissey,,242,♀,1427,298,,,,40.0,20.0,20.0,Cabeçada Zen,Psíquico,,"2021-11-19 22:08",,34.13kg,1.26m,0,0,0,2500,85.53%,88,98.65%,5000,4,Blissey,,0,72.55%,267,98.30%,225000,248,Blissey,,0,
176,Pikachu,Normal,25,♀,708,87,,,,60.0,29.0,29.0,Ataque Rápido,Descarga,,"2021-11-19 22:07",,3.76kg,0.25m,0,0,0,5000,67.05%,875,87.55%,410000,190,Pikachu,Normal,0,66.61%,866,91.63%,410000,240,Raichu,Normal,0,
177,Pikachu,Normal,25,♀,133,35,,,,37.1,6.0,6.0,Ataque Rápido,,,"2021-11-19 22:07",,8.19kg,0.43m,0,0,0,600,42.87%,354,96.80%,84400,134,Raichu,Normal,0,24.93%,2318,87.37%,516400,344,Raichu,Normal,0,
178,Pikachu,Normal,25,♂,304,60,,,,55.7,13.0,13.0,Ataque Rápido,Voar,,"2021-11-19 22:06",,3.27kg,0.29m,0,0,0,1600,85.32%,2,99.40%,66800,112,Raichu,Normal,0,65.76%,708,92.23%,502800,326,Raichu,Normal,0,
179,Pikachu,Normal,25,♀,200,45,,,,76.0,8.0,8.0,Ataque Rápido,Descarga,,"2021-11-19 22:06",,5.55kg,0.4m,0,0,0,800,24.16%,1685,94.80%,69600,120,Raichu,Normal,0,90.98%,184,95.43%,513600,340,Raichu,Normal,0,
180,Pikachu,Normal,25,♀,11,11,,,,49.8,1.0,1.0,Trovoada de Choques,Relâmpago,,"2021-11-19 22:05",,13.17kg,0.51m,0,0,0,200,65.54%,1,100%,92000,148,Raichu,Normal,0,51.64%,326,94.23%,520000,354,Raichu,Normal,0,
181,Pikachu,Normal,25,♀,11,11,,,,49.8,1.0,1.0,Trovoada de Choques,Relâmpago,,"2021-11-19 22:05",,13.17kg,0.58m,0,0,0,200,65.54%,1,100%,92000,148,Raichu,Normal,0,51.64%,326,94.23%,520000,354,Raichu,Normal,0,
182,Pikachu,Normal,25,♂,11,10,,,,40.7,1.0,1.0,Ataque Rápido,,,"2021-11-19 22:05",,6.73kg,0.41m,0,0,0,200,37.82%,65,98.00%,92000,148,Raichu,Normal,0,31.58%,922,91.41%,520000,354,Raichu,Normal,0,
183,Pikachu,Normal,25,♀,38,19,,,,64.9,2.0,2.0,Trovoada de Choques,Ataque Selvagem,,"2021-11-19 22:05",,8.88kg,0.47m,0,0,0,200,30.09%,348,96.81%,79600,135,Raichu,Normal,0,75.98%,336,94.16%,519600,352,Raichu,Normal,0,
184,Pikachu,Normal,25,♀,39,20,,,,78.5,2.0,2.0,Ataque Rápido,Relâmpago,,"2021-11-19 22:05",,6.36kg,0.4m,0,0,0,200,46.63%,163,97.42%,75600,132,Raichu,Normal,0,93.34%,43,97.60%,519600,352,Raichu,Normal,0,
185,Pikachu,Normal,25,♂,87,29,,,,50.1,4.0,4.0,Trovoada de Choques,Relâmpago,,"2021-11-19 22:05",,8.61kg,0.47m,0,0,0,400,31.64%,341,96.83%,82400,134,Raichu,Normal,0,47.60%,1057,90.96%,518400,348,Raichu,Normal,0,
186,Pikachu,Normal,25,♀,90,30,,,,64.9,4.0,4.0,Trovoada de Choques,,,"2021-11-19 22:05",,4.84kg,0.38m,0,0,0,400,27.21%,888,95.78%,78400,131,Raichu,Normal,0,76.13%,377,93.91%,518400,348,Raichu,Normal,0,
187,Pikachu,Normal,25,♂,107,35,,,,42.9,5.0,5.0,Ataque Rápido,,,"2021-11-19 22:05",,6.12kg,0.43m,0,0,0,600,82.09%,19,98.60%,85600,136,Raichu,Normal,0,39.39%,1789,88.80%,517600,346,Raichu,Normal,0,
188,Pikachu,Normal,25,♂,140,37,,,,57.7,6.0,6.0,Ataque Rápido,Ataque Selvagem,,"2021-11-19 22:05",,7.49kg,0.44m,0,0,0,600,38.94%,557,96.33%,76400,127,Raichu,Normal,0,64.49%,746,92.09%,516400,344,Raichu,Normal,0,
189,Pikachu,Normal,25,♂,182,46,,,,49.2,8.0,8.0,Trovoada de Choques,Ataque Selvagem,,"2021-11-19 22:05",,5.73kg,0.32m,0,0,0,800,64.13%,128,97.59%,77600,126,Raichu,Normal,0,53.47%,1180,90.55%,513600,340,Raichu,Normal,0,
190,Pikachu,Normal,25,♀,220,47,,,,63.5,9.0,9.0,Ataque Rápido,Relâmpago,,"2021-11-19 22:05",,6.07kg,0.38m,0,0,0,1000,22.20%,2024,94.44%,72000,121,Raichu,Normal,0,73.60%,611,92.67%,512000,338,Raichu,Normal,0,
191,Pikachu,Normal,25,♂,252,52,,,,76.1,10.0,10.0,Ataque Rápido,Relâmpago,,"2021-11-19 22:04",,5.58kg,0.37m,0,0,0,1000,61.78%,163,97.42%,66000,116,Raichu,Normal,0,92.25%,90,96.63%,510000,336,Raichu,Normal,0,
192,Pikachu,Normal,25,♂,268,51,,,,58.3,11.0,11.0,Ataque Rápido,Ataque Selvagem,,"2021-11-19 22:04",,6.26kg,0.42m,0,0,0,1300,37.98%,802,95.92%,68000,117,Raichu,Normal,0,65.11%,798,91.87%,508000,334,Raichu,Normal,0,
193,Pikachu,Normal,25,♀,274,53,,,,38.5,12.0,12.0,Ataque Rápido,Ataque Selvagem,,"2021-11-19 22:04",,4.74kg,0.35m,0,0,0,1300,62.51%,65,98.00%,73400,120,Raichu,Normal,0,28.64%,2078,88.01%,505400,330,Raichu,Normal,0,
194,Pikachu,Normal,25,♂,283,56,,,,53.5,12.0,12.0,Trovoada de Choques,Descarga,,"2021-11-19 22:04",,5.95kg,0.39m,0,0,0,1300,76.83%,72,97.98%,69400,116,Raichu,Normal,0,59.10%,974,91.22%,505400,330,Raichu,Normal,0,
195,Pikachu,Normal,25,♀,290,54,,,,56.7,12.0,12.0,Trovoada de Choques,Ataque Selvagem,,"2021-11-19 22:04",,4.26kg,0.36m,0,0,0,1300,38.05%,917,95.75%,65400,113,Raichu,Normal,0,63.56%,890,91.54%,505400,330,Raichu,Normal,0,
196,Pikachu,Normal,25,♂,291,55,,,,59.7,12.0,12.0,Ataque Rápido,Ataque Selvagem,,"2021-11-19 22:04",,6.13kg,0.41m,0,0,0,1300,49.63%,272,97.02%,65400,113,Raichu,Normal,0,66.44%,668,92.42%,505400,330,Raichu,Normal,0,
197,Pikachu,Normal,25,♂,304,60,,,,55.7,13.0,13.0,Trovoada de Choques,,,"2021-11-19 22:04",,3.27kg,029.37m,0,0,0,1600,85.32%,2,99.40%,66800,112,Raichu,Normal,0,65.76%,708,92.23%,502800,326,Raichu,Normal,0,
198,Pikachu,Normal,25,♂,304,60,,,,55.7,13.0,13.0,Trovoada de Choques,,,"2021-11-19 22:04",,3.27kg,029.33m,0,0,0,1600,85.32%,2,99.40%,66800,112,Raichu,Normal,0,65.76%,708,92.23%,502800,326,Raichu,Normal,0,
199,Pikachu,Normal,25,♂,321,60,,,,70.2,13.0,13.0,Ataque Rápido,Relâmpago,,"2021-11-19 22:04",,6.83kg,0.42m,0,0,0,1600,46.10%,304,96.93%,58800,106,Raichu,Normal,0,85.26%,207,95.19%,502800,326,Raichu,Normal,0,
200,Pikachu,Normal,25,♂,346,61,,,,67.3,14.0,14.0,Ataque Rápido,Descarga,,"2021-11-19 22:04",,5kg,0.38m,0,0,0,1600,36.30%,906,95.76%,55600,102,Raichu,Normal,0,81.33%,329,94.22%,499600,322,Raichu,Normal,0,
201,Pikachu,Normal,25,♀,352,62,,,,76.2,14.0,14.0,Trovoada de Choques,Descarga,,"2021-11-19 22:04",,6.92kg,0.47m,0,0,0,1600,67.73%,250,97.10%,55600,102,Raichu,Normal,0,91.48%,129,96.05%,499600,322,Raichu,Normal,0,
202,Pikachu,Normal,25,♀,364,62,,,,60.6,15.0,15.0,Ataque Rápido,Descarga,,"2021-11-19 22:04",,7.22kg,0.47m,0,0,0,1900,56.37%,272,97.02%,56400,101,Raichu,Normal,0,68.82%,668,92.42%,496400,318,Raichu,Normal,0,
203,Pikachu,Normal,25,♂,381,61,,,,29.4,17.0,17.0,Ataque Rápido,Descarga,,"2021-11-19 22:04",,7.39kg,0.44m,0,0,0,2200,52.72%,773,95.95%,60800,104,Raichu,Normal,0,14.93%,3193,84.84%,488800,310,Raichu,Normal,0,
